ID,NAME
406,Chicken 65
407,Chicken 65 Biryani
408,Chicken 65 Kebab
409,Chicken Barbeque Wrap
410,Chicken Bajji
411,Chicken Bharta
412,Chicken Biryani
413,Chicken Boa
414,Chicken Bonda
415,Chicken Bun
416,Chicken Burger
417,Chicken Burnt Garlic Fried Rice
418,Chicken Calzone
419,Chicken Chaap
420,Chicken Cheese Balls
421,Chicken Chettinad
422,Chicken Chettinad Biryani
423,Chicken Chilli Dog
424,Chicken Chilli Garlic Noodles
425,Chicken Chopsuey
426,Chicken Club Sandwich
427,Chicken Coconut Fry
428,Chicken Croissant
429,Chicken Curry
430,Chicken Cutlet
431,Chicken Dinner
432,Chicken Do Piyaza
433,Chicken Do Pyaza
434,Chicken Donne Biryani
435,Chicken Dosa
436,Chicken Drumsticks
437,Chicken Drumsticks Biryani
438,Chicken Dry Curry
439,Chicken Dum Biryani
440,Chicken Frankie
441,Chicken Fried Idli
442,Chicken Fried Kebab
443,Chicken Fried Momo
444,Chicken Fried Rice
445,Chicken Fry
446,Chicken Fry Biryani
447,Chicken Garlic Finger
448,Chicken Gravy
449,Chicken Grill
450,Chicken Hakka Noodles
451,Chicken Harabhara
452,Chicken Hot Dog
453,Chicken In Bell Pepper Sauce
454,Chicken In Chilli Basil Sauce
455,Chicken In Chilli Oyster Sauce
456,Chicken In Hot Garlic Sauce
457,Chicken Kathi Roll
458,Chicken Kebab
459,Chicken Kebab Biryani
460,Chicken Keema Dosa
461,Chicken Keema Paratha
462,Chicken Keema Pav
463,Chicken Keema Puff
464,Chicken Keema Samosa
465,Chicken Kefte Tagine
466,Chicken Khandeshi
467,Chicken Kheema
468,Chicken Kofta Salad
469,Chicken Kolhapuri
470,Chicken Koliwada
471,Chicken Korma
472,Chicken Kosha
473,Chicken Kothu Parotta
474,Chicken Kurma
475,Chicken Kuska
476,Chicken Kuska Biryani
477,Chicken Lasagne
478,Chicken Lemon Coriander Soup
479,Chicken Liver Fry
480,Chicken Lollipop
481,Chicken Lollipop Biryani
482,Chicken Maggi
483,Chicken Majestic
484,Chicken Majestic Biryani
485,Chicken Malai Tikka
486,Chicken Manchow Fried Rice
487,Chicken Manchow Soup
488,Chicken Manchurian
489,Chicken Manchurian Biryani
490,Chicken Manchurian Dry
491,Chicken Masala
492,Chicken Masala Dosa
493,Chicken Masala Rice
494,Chicken Mirchi Bajji
495,Chicken Momo
496,Chicken Mughali Curry
497,Chicken Mugulai
498,Chicken Mulligatawny Soup
499,Chicken Nanking Noodles
500,Chicken Navabi
501,Chicken Noodles
502,Chicken Nuggets
503,Chicken Omelette
504,Chicken Oriental Salad
505,Chicken Pakoda
506,Chicken Pakoda Biryani
507,Chicken Palli Palayam
508,Chicken Paniyaram
509,Chicken Paratha
510,Chicken Paratha Roll
511,Chicken Pasta
512,Chicken Pasta With Pink Sauce
513,Chicken Pasta With White Sauce
514,Chicken Pathiri
515,Chicken Patti Samosa
516,Chicken Pepper Dry
517,Chicken Pepper Fry
518,Chicken Pepper Gravy
519,Chicken Pepper Masala
520,Chicken Piccata
521,Chicken Pizza
522,Chicken Podimas
523,Chicken Popcorn
524,Chicken Puff
525,Chicken Puffs
526,Chicken Pulao
527,Chicken Quesadilla
528,Chicken Rezzala
529,Chicken Rice Bowl
530,Chicken Roast
531,Chicken Roll
532,Chicken Salad
533,Chicken Salad Sandwich
534,Chicken Salt And Pepper
535,Chicken Samosa
536,Chicken Sandwich
537,Chicken Satay
538,Chicken Sausage
539,Chicken Schezwan Fried Rice
540,Chicken Schezwan Noodles
541,Chicken Seekh Kebab
542,Chicken Shashlik
543,Chicken Shawarma
544,Chicken Shawarma Plate
545,Chicken Singapore Noodles
546,Chicken Starter
547,Chicken Stew
548,Chicken Strips
549,Chicken Submarine
550,Chicken Tandoori Kebab
551,Chicken Tangdi Biryani
552,Chicken Tawa Kebab
553,Chicken Teriyaki Salad
554,Chicken Tikka
555,Chicken Tikka Biryani
556,Chicken Tikka Burger
557,Chicken Tikka Chaap
558,Chicken Tikka Cheese Sandwich
559,Chicken Tikka Croissant
560,Chicken Tikka Grilled Roll
561,Chicken Tikka Masala
562,Chicken Tikka Mini Roll
563,Chicken Tikka Pizza
564,Chicken Tikka Salad
565,Chicken Tikka Sandwich
566,Chicken Tikka Semizza
567,Chicken Vada
568,Chicken Varattiyathu
569,Chicken Wings
570,Chicken Wrap
571,Chicken Yakhni Biryani
572,Chicken in Hunan Sauce
573,Chikku Juice
574,Chikoo Fruit Shake
575,Chikoo Milk Shake
576,Chilli
577,Chilli Cheese Maggi
578,Chilli Cheese Sandwich
579,Chilli Cheese Toast
580,Chilli Chicken
581,Chilli Chicken Biryani
582,Chilli Chipotle Chicken
583,Chilli Coriander Uttapam
584,Chilli Corn Cheese Sandwich
585,Chilli Garlic Egg Fried Rice
586,Chilli Garlic Potato Bites
587,Chilli Garlic Veg Fried Rice
588,Chilli Gobi
589,Chilli Idli
590,Chilli Paneer
591,Chilli Paratha
592,Chilli Prawns
593,Chilli Babycorn
594,Chilli Egg
595,Chilly Garlic Chicken Fried Rice
596,Chilli Garlic Chicken Rice
597,Chilli Garlic Noodles
598,Chilli Garlic Rice
599,Chilli Mushroom
600,Chinese Non-Veg Chop Suey
601,Chinese Non-Veg Meal
602,Chips
603,Chitrana Rice
604,Choco Carnival Sundaes
605,Choco Chip Brownie
606,Choco Chip Doughnut
607,Choco Chip Fudgy Brownie
608,Choco Flakes
609,Choco Hazelnut Doughnut
610,Choco Lava Cake
611,Choco Truffle Pastry
612,Choco Truffle Cake
613,Chocochip Brownie
614,Chocochip Cake
615,Chocoholic Waffles
616,Chocolate
617,Chocolate Almond Doughnut
618,Chocolate Ball
619,Chocolate Bao
620,Chocolate Barfi
621,Chocolate Brownie
622,Chocolate Bun Maska
623,Chocolate Cake
624,Chocolate Chip
625,Chocolate Chips
626,Chocolate Cream Cake
627,Chocolate Croissant
628,Chocolate Cupcake
629,Chocolate Danish
630,Chocolate Doughnut
631,Chocolate Dream Cake
632,Chocolate Dream Cake Doughnut
633,Chocolate Frappe
634,Chocolate Gateaux
635,Chocolate Iced Glazed Doughnut
636,Chocolate Iced Glazed Sprinkle Doughnut
637,Chocolate Kit Kat Shake
638,Chocolate Kulfi
639,Chocolate Lassi
640,Chocolate Milkshake
641,Chocolate Momo
642,Chocolate Mousse
643,Chocolate Muffin
644,Chocolate Pastry
645,Chocolate Pheni
646,Chocolate Pudding
647,Chocolate Sandwich
648,Chocolate Sauce
649,Chocolate Shake
650,Chocolate Smoothie
651,Chocolate Soft clair
652,Chocolate Softy
653,Chocolate Thickshake
654,Chocolate Walnut Brownie
655,Chocolava
656,Chole
657,Chole Bhature
658,Chole Biryani
659,Chole Masala
660,Chole Paneer
661,Chole Kulche
662,Chole Wrap
663,Chow Chow Bath
664,Chum Chum
665,Churro Doughnut
666,Chutney
667,Cinnamon Doughnut
668,Cinnamon Roll
669,Classic Doner Kebab
670,Classic Doner Kebab Chicken
671,Classic Margherita Pizza
672,Classic South Meals
673,Clear Chicken Soup
674,Clubbed Chicken Tower Burger
675,Coconut
676,Coconut Barfi
677,Coconut Chutney
678,Coconut Kulfi
679,Coconut Milk
680,Coconut Payasam
681,Coconut Rice
682,Coconut Water
683,Coffee
684,Coffee Ice Cream
685,Coffee Mocha Fantasy Cake
686,Cold Coffee
687,Cold Coffee Milkshake
688,Cold Horlicks Milk
689,Coleslaw Sandwich
690,Colombian Chocolate Cheese Cake
691,Cone Cake
692,Continental Chicken Soup
693,Continental Non-Veg Meal
694,Continental Non-Veg Packed Meal
695,Cooker Mandi
696,Cookies
697,Coriander Dosa
698,Coriander Rice
699,Corn Bread Omelette
700,Corn Chaat
701,Corn Cheese Fried Momo
702,Corn Cheese Momo
703,Corn Cheese Sandwich
704,Corn Flakes Chaat
705,Corn Idli
706,Corn Maggi
707,Corn Masala Dosa
708,Corn Mushroom Rice
709,Corn Pasta Cheese Salad
710,Corn Peanut Salad
711,Corn Peas Biryani
712,Corn Peas Salad
713,Corn Potato Burger
714,Corn Pulao
715,Corn Sandwich
716,Corn Spinach Cheese Sandwich
717,Corn Spinach Parcel
718,Corn Spinach Sandwich
719,Corn Utthappam
720,Corn and Pepper Tossed Salad
721,Corn and Spinach Cheese Sandwich
722,Corn and Spinach Sandwich
723,Cottage Cheese and Pepper Steaks
724,Crab Omelette
